target_symbol,rank,weight1,weight2,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
MFN2,87,0.142857142857143,0.142857142857143,0.0774525289700481,0.0273278004630596
MOB1A,88,0.25,0.25,0.0289307412897612,0.0143948192159862
MOB1B,89,0.25,0.25,0.228353331680859,0.310289635343861
MS4A2,90,0.0567908295699004,0.0566618066614377,0.0066220197606507,0.135936150945522
NAIP,91,0.336700426828137,0.336860814533205,0.112665602688342,0.383523060394387
NF2,92,0.147761462589061,0.147987975782671,0.17551918856507,0.228123307899731
NLRC4,93,0.134064372190648,0.133787704309675,0.26261359276678,0.0294193447466303
NLRP1,94,0.0971178695957488,0.0970266669170627,0.0272597290375435,0.169688974213678
NLRP3,95,0.0961566780745278,0.0957284454609328,0.0112444124923071,0.0779441255677453
NOD1,96,0.197033065346728,0.198071321529167,0.257213801117693,0.0638643990348177
NOD2,97,0.51756458015122,0.517476665600953,0.0893714850860372,0.102611573267765
PIN1,98,0.207820144980392,0.207703800554487,0.155951777796762,0.208831507277182
PKN2,99,0.0953848095384723,0.0953732781458056,0.055557903982867,0.0601891122739148
PSTPIP1,100,0.5,0.5,0.133835449921262,0.385806207327665
PYCARD,101,0.161373351579768,0.16249498036243,0.0400084144280035,0.0347708437082394
RALA,102,0.0787821786657655,0.0787636344059602,0.0300460722292225,0.145739491522674
RALB,103,0.0808733711201246,0.0808849416998575,0.0119954525750214,0.0054679223274687
RALBP1,104,0.0457219693457847,0.0456929928427737,0.25111970596832,0.232705869560549
RAPGEF1,105,0.117146389303624,0.117858410701887,0.0429937249014971,0.153016493765371
RELB,106,0.0413414197423236,0.0414812867570312,0.229799885583904,0.064358716687601
RGL1,107,0.0971039554430928,0.0970191820113028,0.0587307706002878,0.016225796805965
RGL2,108,0.0806993653390676,0.0807273497028762,0.0801019593835079,0.0281625938952127
RHOQ,109,0.0981106453264751,0.0980779071850152,0.0072580697818397,0.0936821351702576
RNASEL,110,1,1,0.0077096250754724,0.0386829839041177
RNF125,111,0.418087959797059,0.418423838894231,0.0257965071251276,0.360891228357625
SAV1,112,0.196374140749415,0.196445712708045,0.200341177050235,0.232321488422663
SIAH1,113,0.0913451154972523,0.0913132595877256,0.0514386523021708,0.0138167644896773
SIKE1,114,0.166105081708627,0.166212656389231,0.0026654296416886,0.1972413193898
SIPA1,115,0.261373406658002,0.261353788236442,0.0546500039786698,0.0187242230993355
SKAP1,116,0.0565834326026271,0.0566091690047904,0.146897771847202,0.305280585138155
SKP1,117,0.074264537937183,0.0728241008064816,0.0093371371485759,0.0632683645845717
STING1,118,0.205791683492586,0.205743701672515,0.0352342605704837,0.242065749461063
STK3,119,0.102833937647494,0.102898198030605,0.0160686148545644,0.0968991607473133
SUGT1,120,0.103175392681823,0.10307681212412,0.315029565704217,0.242560031950122
SYK,121,0.0282503205841644,0.028607070207518,0.039888097708346,0.0316082009737707
TANK,122,0.0938545346940836,0.0938456059589414,0.0805865098395778,0.0074688784699013
TBK1,123,0.071737043218797,0.0717253910945277,0.0639946166154508,0.2631410540802
TBKBP1,124,0.122420812510809,0.122308539849295,0.241229572742859,0.296445200161525
TBL1X,125,0.100987025696567,0.101117739385572,0.057493188764117,0.110659682460533
TBL1XR1,126,0.100623318587427,0.100627142773337,0.0052910867669285,0.005669597764225
TICAM1,127,0.0982650620782049,0.0982213509508493,0.0942282672588444,0.0352582049100726
TKFC,128,0.234647101872745,0.234582865685551,0.227393064467873,0.0067421137188464
TLR3,129,0.352688744578431,0.35256636749359,0.002703857864576,0.0691002990459583
TLR4,130,0.185008935086092,0.185232699224759,0.0458934042321268,0.0739680654720682
TNFRSF13C,131,0.515143433105458,0.515164267220008,0.0015952646835055,0.146216215991348
TNFSF13B,132,0.569915430149698,0.569914597064724,0.0124145837715468,0.286447978682142
TP53BP1,133,0.477119515715686,0.4814877275,0.431775426969104,0.241670542219683
TRAF3IP2,134,0.0294355931396308,0.0294108777001358,0.0694026448478958,0.076382266760183
TRAF4,135,0.151993707363725,0.151898121691666,0.0611436656910622,0.10676211671735
TRIP10,136,0.187462623457843,0.187412401539744,0.128508980872948,0.0702354592115859
TXN,137,0.333333333333333,0.333333333333333,0.207096804142088,0.235021386598709
TXN2,138,0.333333333333333,0.333333333333333,0.315179539959143,0.339985317891811
TXNIP,139,0.229389419238513,0.229399727791858,0.0564378043871153,0.121485133837362
YWHAE,140,0.0546073218284849,0.054585799479346,0.0805326136486141,0.317132172534625
YWHAQ,141,0.0916538470969568,0.0916813299649531,0.225242208117765,0.154007281146292
ZAP70,142,0.0531305514660095,0.053109161419107,0.302014398676344,0.0781516265374872
